query,rolname,calls,mean_time,min_time,max_time,total_time,rows_read,cache_hit_rate,prop_total_time,index_advisor_result
SELECT * FROM pgbouncer.get_auth($1),pgbouncer,1,0.076202,0.076202,0.076202,0.076202,1,100.0000000000000000,0.0036755282977684995,null
SET statement_timeout='58s',supabase_admin,4,0.01264825,0.011947,0.013703,0.050593,0,0,0.002440303445696986,null
"select ""id"", ""game_number"", ""round_number"", ""scheduled_time"", ""court_number"", ""team_a_pods"", ""team_b_pods"", ""sitting_pods"", ""team_a_score"", ""team_b_score"", ""status"", ""created_at"", ""updated_at"" from ""pool_matches"" order by ""pool_matches"".""game_number"" asc",postgres,1,0.04695,0.04695,0.04695,0.04695,6,100.0000000000000000,0.0022645869344666944,null
"-- reports-query-performance-unified
        set search_path to public, extensions",postgres,5,0.0079594,0.007804,0.008337,0.039797,0,0,0.00191956903580343,null
"select ""id"", ""game_number"", ""round_number"", ""scheduled_time"", ""court_number"", ""team_a_pods"", ""team_b_pods"", ""sitting_pods"", ""team_a_score"", ""team_b_score"", ""status"", ""created_at"", ""updated_at"" from ""pool_matches"" where ""pool_matches"".""status"" = $1 order by ""pool_matches"".""game_number"" asc limit $2",postgres,1,0.031475,0.031475,0.031475,0.031475,1,100.0000000000000000,0.0015181655753426883,null
"select ""id"", ""email"", ""name"", ""player1"", ""player2"", ""team_name"", ""created_at"" from ""pods""",postgres,1,0.025222,0.025222,0.025222,0.025222,9,100.0000000000000000,0.0012165582888417246,null
"select ""id"", ""game_number"", ""round_number"", ""scheduled_time"", ""court_number"", ""team_a_pods"", ""team_b_pods"", ""sitting_pods"", ""team_a_score"", ""team_b_score"", ""status"", ""created_at"", ""updated_at"" from ""pool_matches"" where ""pool_matches"".""status"" = $1 order by ""pool_matches"".""game_number"" asc",postgres,1,0.023401,0.023401,0.023401,0.023401,1,100.0000000000000000,0.001128724150233336,null
select exists(select $1 from auth.users),supabase_admin,1,0.017173,0.017173,0.017173,0.017173,1,0,0.000828322714070214,null
SET idle_session_timeout='58s',postgres,7,0.00189771428571429,0.001723,0.002133,0.013284,0,0,0.0006407406355155606,null
SET idle_session_timeout='58s',supabase_admin,4,0.002078,0.001838,0.002667,0.008312,0,0,0.0004009211203256052,null
